Trafico	O
de	O
drogas	O
perturbando	O
moradores	PERSON
e	O
incrível	O
como	O
a	O
policia	O
não	O
vem	O
aqui	O
uma	O
meia	O
dúzia	O
de	O
molekes	O
com	O
armas	O
velhas	O
enferrujadas	O
perturbando	O
moradores	PERSON
rua	O
sem	O
saída	O
por	O
favor	O
peça	O
ao	O
pessoal	PERSON
do	O
12Ëdar	O
uma	O
dura	O
aqui	O
na	O
rua	O
21	O
no	O
final	O
da	O
rua	LOCATION
no	O
engenho	O
do	O
mato	O
Tem	O
uma	O
moto	O
popi	O
amarela	O
que	O
do	O
gerente	PERSON
da	O
boca	O
ele	PERSON
anda	O
livremente	O
aqui	O
com	O
um	O
revolver	O
na	O
cintura	O
intimidando	O
todos	O
e	O
um	O
muleke	PERSON
magrinho	O
mais	O
ou	O
menos	O
1.70	O
branco	O
cabelo	O
baixinho	O
preto	O
eles	PERSON
ficam	O
muito	O
na	O
casa	O
numero	O
12	O
da	O
rua	LOCATION
21	O
final	O	
da	O
rua	LOCATION
e	O
mais	O
afrente	O
no	O
final	O
da	O
rua	PERSON
se	O
costumam	O
começar	O
o	O
movimento	O
as	O
11.00hs	O
Venho	O
novamente	O
relatar	O
que	O
há	O
no	O
nº	O
51	O
da	O
Rua	LOCATION
Bias	O
Fortes	O
pessoas	PERSON
consumindo	O
e	O
vendendo	O
drogas	O
Já	O
veio	O
uma	O
viatura	O
descaracterizada	O
no	O
local	O
mas	O
os	O
drogados	PERSON
traficantes	PERSON
continuam	O
no	O
mesmo	O
local	O
Estão	O
agora	O
mesmo	O
consumindo	O
drogas	O
no	O
mesmo	O
local	O
Casa	LOCATION
verde	O
entre	O
uma	O
igreja	LOCATION
e	O
uma	O
clinica	O
Boa	O
tarde	O
bandidos	PERSON
colocaram	O
a	O
boca	O
dentro	O
do	O
terreno	O
de	O
moradores	PERSON
os	O
moradores	PERSON
não	O
tem	O
nada	O
a	O
ver	O
com	O
isso	O
trata	O
se	O
de	O
um	O
corredor	O
no	O
endereço	O
da	O
rua	LOCATION
javata	O
473	O
Anchieta	LOCATION
A	O
boca	O
fica	O
no	O
portao	O
social	O
que	O
não	O
fecha	O
Este	O
endereço	O
também	O
serve	O
de	O
rota	O
de	O
fuga	O
quando	O
ha	O
operação	O
policial	O
pois	O
tem	O
frente	O
para	O
rua	LOCATION
javata	O
e	O
a	O
saída	O
de	O
fundos	O
para	O
rua	LOCATION
himalaia	O
Eles	O
escondem	O
armas	O
e	O
drogas	O
neste	O
quintal	O
quando	O
fogem	O
da	O
polícia	PERSON
Há	O
criancas	PERSON
e	O
adolescentes	PERSON
inocentes	O
no	O
local	LOCATION
Todas	O
as	O
sextas	TIME
feiras	TIME
tem	O
baile	O
funk	O
começar	O
meia	O
noite	O
todas	O
as	O
sexta	TIME
é	O
um	O
inferno	O
Atenção	O
policiais	PERSON
da	O
área	O
do	O
9	O
Bpm	O
se	O
quiserem	O
pegar	O
o	O
wesley	PERSON
vulgo	O
russinho	PERSON
da	O
favela	LOCATION
do	O
muquiço	O
e	O
só	O
ficar	O
aqui	O
na	O
travessa	LOCATION
Santo	O
António	O
em	O
marechal	O
Hermes	O
Ele	PERSON
vem	O
buscar	O
o	O
comparsa	PERSON
dele	O
de	O
nome	O
Emanuel	PERSON
todos	O
os	O
dias	O
a	O
partir	O
das	O
15h	O
no	O
máximo	O
as	O
20h	O
para	O
formarem	O
na	O
boca	O
de	O
fumo	O
Isso	O
é	O
todo	O
dia	O
Estou	O
mandando	O
a	O
foto	O
dele	O
Observando	O
O 	O
wesley	PERSON
e	O
o	O
que	O
está	O
de	O
camisa	O
branca	O
e	O
bermuda	O
preta	O
na	O
foto	O
Tráfico	O
na	O
esquina	O
de	O
Rua	LOCATION
Cristalina	O
com	O
Formosa	O
em	O
Vila	LOCATION
Zulmira	O
éden	O
São	O
João	O
de	O
Meriti	LOCATION
DROGAS	O
ESCONDIDAS	O
EM	O
TELHAS	O
NO	O
UTILIZADAS	O
EM	O
FRENTE	O
DA	O
IGREJA	O
EM	O
CONSTRUÇãO	O
NA	O
RUA	LOCATION
FORMOSA	O
ENTRE	O
CRISTALINA	O
E	O
RUA	LOCATION
MORRINHOS	O
Os	O
bandidos	PERSON
do	O
morro	LOCATION
dona	PERSON
marta	PERSON
estão	O
pesadão	O
com	O
fuzis	O
como	O
AK	O
e	O
pistolas	O
e	O
quando	O
os	O
policiais	PERSON
saem	O
em	O
patrulha	O
eles	O
sobem	O
nas	O
lages	O
e	O
ficam	O
lá	O
até	O
saírem	O
o	O
ponto	O
preferencial	O
e	O
na	O
Lage	O
de	O
uma	O
crente	PERSON
ao	O
lado	O
dá	O
casa	LOCATION
de	O
um	O
morador	PERSON
conhecido	O
na	O
comunidade	LOCATION
como	O
Tião	PERSON
belo	O
peço	O
que	O
sejam	O
usados	O
binóculos	O
e	O
helicópteros	O
para	O
os	O
observar	O
pois	O
eles	PERSON
dão	O
muito	O
mole	O
se	O
escondendo	O
nas	O
lages	O
a	O
crente	PERSON
deixou	O
eles	PERSON
ficarem	O
quando	O
a	O
coisa	O
fica	O
séria	O
eles	PERSON
entram	O
na	O
casa	LOCATION
dela	O
eu	PERSON
moro	O
na	O
comunidade	LOCATION
mais	O
de	O
trinta	TIME
anos	TIME
e	O
não	O
admito	O
isso	O
eles	PERSON
passam	O
o	O
tempo	TIME
todo	O
fumando	O
maconha	O
e	O
jogando	O
sujeiras	O
no	O
meu	O
quintal	O
toda	O
a	O
comunidade	LOCATION
está	O
estarrecida	O
porém	O
não	O
podem	O
fazer	O
nada	O
por	O
favor	O
me	O
ajudem	O
Estao	O
traficando	O
no	O
bairro	LOCATION
no	O
meio	O
de	O
crianças	PERSON
os	O
pms	PERSON
vem	O
eles	PERSON
saem	O
e	O
faltam	O
para	O
o	O
mesmmo	O
lugar	O
Trafico	O
de	O
drogas	O
Vagabundos	PERSON
fogem	O
pelos	O
fundos	O
que	O
da	O
num	O
campo	O
de	O
futebol	O
Há	O
armas	O
Mulheres	PERSON
dos	O
vagabundos	PERSON
guardam	O
as	O
drogas	O
Trafico	O
intenso	O
de	O
drogas	O
Vagabundos	PERSON
fogem	O
pelo	O
campo	O
de	O
futebol	O
que	O
fica	O
atras	O
da	O
casa	O
Possuem	O
armas	O
e	O
drogas	O
Mulheres	PERSON
dos	O
vagabundos	PERSON
envolvidas	O
Já	O
fiz	O
outras	O
denúncias	O
e	O
nada	O
até	O
agora	O
foi	O
feito	O
Na	O
minha	O
Rua	LOCATION
meu	O
vizinho	PERSON
de	O
nome	O
Ruan	PERSON
que	O
já	O
foi	O
preso	O
está	O
vendendo	O
drogas	O
na	O
casa	O
dele	O
há	O
um	O
constante	O
movimento	O
de	O
carros	O
e	O
de	O
pessoas	PERSON
estranhas	O
entrando	O
e	O
saindo	O
da	O
casa	O
dele	O
o	O
movimento	O
aumenta	O
na	O
madrugada	O
Ele	PERSON
dá	O
varias	O
festas	O
com	O
funks	O
proibidos	O
Endereço	LOCATION
Rua	LOCATION
Julio	O
Salusse	O
número	O
121	O
praça	LOCATION
cruzeiro	O
Rio	LOCATION
Bonito	O
rua	LOCATION
asfaltada	O
atrás	O
da	O
quadra	O
do	O
cruzeiro	O
é	O
um	O
sobrado	O
de	O
3	O
andares	O
Ainda	O
no	O
tijolo	O
O	O
pai	PERSON
do	O
Ruan	PERSON
faz	O
gatos	O
coloca	O
instalações	O
e	O
fios	O
ilegais	O
Inclusive	O
policiais	PERSON
militares	PERSON
ja	O
foram	O
acionados	O
entraram	O
e	O
saíram	O
da	O
casa	O
do	O
Ruan	PERSON
e	O
nada	O
aconteceu	O
Bom	O
dia	O
gostaria	O
de	O
denunciar	O
milicianos	PERSON
agindo	O
livremente	O
na	O
comunidade	LOCATION
águia	O
de	O
ouro	O
em	O
Inhaúma	LOCATION
peço	O
que	O
por	O
favor	O
investiguem	O
pois	O
a	O
luz	O
do	O
dia	O
eles	PERSON
ficam	O
escondidos	O
mas	O
ao	O
cair	O
da	O
noite	O
esse	O
grupo	O
de	O
vagabundo	PERSON
fica	O
em	O
vários	O
pontos	O
dá	O
comunidade	LOCATION
inclusive	O
na	O
passarela	O
que	O
passa	O
em	O
cima	O
dá	O
linha	O
do	O
trem	O
Estou	O
enviando	O
a	O
foto	O
de	O
um	O
miliciano	PERSON
de	O
fuzil	O
em	O
frente	O
a	O
associação	O
da	O
comunidade	LOCATION
do	O
guarda	O
ele	O
está	O
fazendo	O
a	O
segurança	O
do	O
marquinho	PERSON
Catiri	O
que	O
está	O
dentro	O
da	O
associação	O
do	O
guarda	O
Estou	O
enviando	O
também	O
a	O
foto	O
de	O
uma	O
mulher	PERSON
que	O
faz	O
parte	O
da	O
milicia	O
mas	O
atua	O
cobrando	O
uma	O
parte	O
da	O
comunidade	LOCATION
mas	O
existem	O
outras	O
três	O
mulheres	PERSON
que	O
também	O
fazem	O
essa	O
função	O
Transporta	O
drogas	O
como	O
mototaxi	O
Transportando	O
via	O
mototaxi	O
Rua	LOCATION
4	O
jardim	O
bela	O
floresta	O
Magé	LOCATION
RJ	LOCATION
rua	LOCATION
sem	O
saída	O
portão	O
preto	O
de	O
garagem	O
são	O
duas	O
casas	O
a	O
casa	O
de	O
baixo	O
está	O
tendo	O
Tráfico	O
de	O
drogas	O
e	O
armas	O
Larissa	PERSON
o	O
nome	O
dela	O
